investor_id,performance,date
500,-0.326,2022-08-12
988,0.8376,2022-08-05
234,0.06,2022-08-14
656,1.3528,2022-08-14
837,0.334,2022-08-12
920,0.6642,2022-08-10
785,1.4282,2022-08-23
718,0.8201,2022-08-17
213,0.221,2022-08-21
308,0.6762,2022-08-18
485,-0.0068,2022-08-19
593,1.4643,2022-08-21
571,-0.4347,2022-08-25
858,1.4022,2022-08-19
711,0.6311,2022-08-19
684,0.4978,2022-08-04
505,-0.2674,2022-08-27
458,0.7043,2022-08-04
712,0.2861,2022-08-14
927,1.2026,2022-08-20
305,0.148,2022-08-18
977,1.287,2022-08-01
917,1.4175,2022-08-29
277,1.3875,2022-08-04
134,0.4251,2022-08-12
503,0.8686,2022-08-15
264,-0.2812,2022-08-26
229,1.4951,2022-08-14
619,0.6225,2022-08-04
783,-0.3276,2022-08-13
696,-0.2129,2022-08-23
553,1.4499,2022-08-29
107,-0.0765,2022-08-30
460,-0.193,2022-08-29
830,0.1303,2022-08-12
975,0.1667,2022-08-22
118,0.7912,2022-08-31
292,-0.3255,2022-08-06
174,-0.2566,2022-08-21
930,-0.1309,2022-08-30
625,1.0124,2022-08-07
623,0.4058,2022-08-20
498,0.0565,2022-08-20
888,0.9384,2022-08-01
806,0.8509,2022-08-18
631,0.5967,2022-08-31
913,-0.1595,2022-08-18
382,0.6482,2022-08-21
320,-0.4611,2022-08-20
137,1.4875,2022-08-05
396,-0.2275,2022-08-20
909,0.541,2022-08-03
421,-0.2098,2022-08-13
837,-0.1287,2022-08-18
561,1.418,2022-08-20
440,-0.4605,2022-08-12
286,1.3938,2022-08-04
166,0.5622,2022-08-28
725,-0.0887,2022-08-26
223,-0.2626,2022-08-11
965,1.4397,2022-08-06
628,0.0892,2022-08-27
357,0.4878,2022-08-11
629,0.5635,2022-08-25
929,1.0561,2022-08-31
975,-0.1552,2022-08-22
673,-0.467,2022-08-24
891,-0.3187,2022-08-27
135,0.1789,2022-08-02
634,0.7845,2022-08-21
609,1.3541,2022-08-10
167,0.7162,2022-08-17
339,0.3124,2022-08-10
507,0.1558,2022-08-21
546,1.4859,2022-08-25
314,-0.1958,2022-08-23
886,1.1407,2022-08-19
117,1.174,2022-08-01
278,-0.445,2022-08-22
993,0.3373,2022-08-19
344,0.1373,2022-08-25
919,0.9931,2022-08-19
189,0.5222,2022-08-25
132,0.3198,2022-08-18
965,1.0015,2022-08-27
648,0.4945,2022-08-13
562,1.3081,2022-08-04
106,0.968,2022-08-31
294,1.4145,2022-08-31
963,1.1504,2022-08-06
764,0.6286,2022-08-03
769,0.5561,2022-08-19
252,0.3849,2022-08-15
838,0.0948,2022-08-16
797,0.4707,2022-08-13
869,-0.4215,2022-08-03
680,-0.3831,2022-08-25
845,-0.1115,2022-08-06
834,-0.2545,2022-08-24
970,0.1055,2022-08-01
658,0.2382,2022-08-04
582,0.8991,2022-08-06
299,-0.276,2022-08-16
956,0.625,2022-08-18
882,0.9549,2022-08-27
990,0.7368,2022-08-01
674,1.2151,2022-08-19
722,0.5993,2022-08-10
917,0.7709,2022-08-05
413,1.3457,2022-08-27
365,0.9771,2022-08-25
245,1.2291,2022-08-22
866,-0.1128,2022-08-23
338,0.831,2022-08-13
969,-0.3384,2022-08-29
219,0.9339,2022-08-12
744,1.3149,2022-08-10
496,0.4831,2022-08-21
108,1.3793,2022-08-03
711,0.8952,2022-08-09
605,0.4095,2022-08-24
782,-0.3955,2022-08-11
355,-0.4884,2022-08-17
887,0.0174,2022-08-31
953,0.9378,2022-08-29
428,-0.463,2022-08-28
417,0.0609,2022-08-17
978,-0.0401,2022-08-20
364,1.4586,2022-08-01
579,0.711,2022-08-28
664,-0.399,2022-08-16
500,1.0468,2022-08-08
382,-0.4507,2022-08-19
387,1.0807,2022-08-12
250,-0.4901,2022-08-08
299,-0.4534,2022-08-13
465,1.3865,2022-08-08
386,1.1741,2022-08-11
176,0.7714,2022-08-08
710,0.3318,2022-08-10
135,0.7546,2022-08-30
892,-0.1245,2022-08-16
409,0.3687,2022-08-09
211,0.2482,2022-08-07
170,1.2282,2022-08-14
192,-0.2913,2022-08-22
839,1.2827,2022-08-31
380,-0.0685,2022-08-17
720,-0.1881,2022-08-11
262,0.9857,2022-08-26
199,1.3652,2022-08-23
178,0.9311,2022-08-20
818,0.2887,2022-08-23
556,0.8886,2022-08-02
974,0.7417,2022-08-04
511,0.145,2022-08-05
546,0.118,2022-08-08
994,0.0106,2022-08-15
338,-0.3648,2022-08-24
234,-0.1166,2022-08-12
901,-0.3843,2022-08-25
481,0.9652,2022-08-19
875,0.6031,2022-08-12
468,1.1009,2022-08-24
945,1.1633,2022-08-19
717,1.138,2022-08-18
768,0.0199,2022-08-20
498,0.899,2022-08-11
970,0.0749,2022-08-14
832,0.33,2022-08-08
222,-0.4326,2022-08-28
505,0.1228,2022-08-12
611,-0.2186,2022-08-08
392,0.4559,2022-08-28
250,1.0216,2022-08-04
561,1.1423,2022-08-30
319,1.0443,2022-08-26
141,-0.3672,2022-08-22
434,0.3853,2022-08-22
699,1.022,2022-08-19
787,0.3194,2022-08-31
271,0.1854,2022-08-06
198,1.2321,2022-08-01
576,0.0252,2022-08-14
768,-0.1747,2022-08-30
340,0.2838,2022-08-02
320,0.815,2022-08-11
763,-0.3832,2022-08-29
959,0.3826,2022-08-15
466,0.3323,2022-08-21
